Id,Label,timeset,v_name,eigencentrality,componentnumber,pageranks,modularity_class,Authority,Hub,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,Degree
n54,n54,,MIF,0.273043,0,0.002977,2,0.042532,0.042533,3,0.530837,0.559474,5.509387,1.44582,29
n55,n55,,MTR,0.408934,0,0.003901,8,0.06396,0.063961,3,0.547727,0.58852,1.475045,1.693054,43
n56,n56,,NLRP3,0.412612,0,0.00409,8,0.064507,0.064507,3,0.550228,0.592669,4.251127,1.581414,45
n57,n57,,STAT3,0.481041,0,0.005149,8,0.075218,0.075218,2,0.567059,0.618257,23.745724,2.495021,57
n58,n58,,TYK2,0.322059,0,0.003185,11,0.050269,0.050269,3,0.535556,0.567773,1.805898,1.372092,33
n59,n59,,C6,0.737035,0,0.010753,8,0.115118,0.115118,2,0.656676,0.738589,358.174499,5.859127,115
n60,n60,,CD28,0.487693,0,0.005013,8,0.076303,0.076303,2,0.567059,0.618257,10.081637,2.578737,57
n61,n61,,CD44,0.361167,0,0.003463,8,0.056412,0.056413,3,0.540359,0.576072,1.165719,1.283445,37
n62,n62,,CDR2,0.153907,0,0.001719,8,0.023941,0.023942,3,0.513859,0.528354,0,0.460481,14
n63,n63,,CIITA,0.376442,0,0.003933,8,0.058859,0.05886,2,0.548975,0.589212,4.09035,2.040161,43
n64,n64,,CTLA4,0.416872,0,0.004054,8,0.065208,0.065208,3,0.550228,0.592669,2.341253,1.559214,45
n65,n65,,FOXP3,0.505111,0,0.005282,8,0.078997,0.078997,2,0.57109,0.624481,16.210511,2.952132,60
n66,n66,,GPR17,0.300477,0,0.002928,8,0.046915,0.046915,3,0.532009,0.561549,0.348209,0.961002,30
n67,n67,,MALT1,0.23724,0,0.002396,0,0.036981,0.036982,3,0.523913,0.547026,0.02439,0.975302,23
n68,n68,,MBP,0.612138,0,0.006747,8,0.095842,0.095842,2,0.598015,0.6639,35.697062,4.197148,79
n69,n69,,PTPN22,0.241194,0,0.002513,6,0.037562,0.037563,3,0.525054,0.549101,0.59449,1.553052,24
n70,n70,,UBC,0.325085,0,0.003244,8,0.050744,0.050745,3,0.536748,0.569848,1.347504,1.293245,34
n71,n71,,ABHD6,0.173097,0,0.001947,12,0.026968,0.026968,3,0.517167,0.534578,0.027778,0.590456,17
n72,n72,,ACR,0.321962,0,0.00357,0,0.050189,0.05019,3,0.540359,0.576072,7.367034,3.744223,37
n73,n73,,ANKRD55,0.201215,0,0.002102,2,0.031328,0.031329,3,0.519397,0.538728,0.046512,0.787288,19
n74,n74,,AQP4,0.493687,0,0.005008,8,0.077243,0.077243,2,0.567059,0.618257,9.464264,2.19973,57
n75,n75,,C2,0.867977,0,0.014332,8,0.135269,0.135269,2,0.739264,0.823651,721.311555,9.465839,156
n76,n76,,C9,0.393182,0,0.004095,12,0.061425,0.061425,2,0.550228,0.591286,9.63642,1.844983,44
n77,n77,,CCL19,0.271235,0,0.002697,8,0.042345,0.042345,2,0.52967,0.556017,0.280172,1.226604,27
n78,n78,,CCL20,0.352626,0,0.003567,1,0.055099,0.0551,2,0.542793,0.578838,2.726899,1.94451,38
n79,n79,,CD6,0.514165,0,0.005835,2,0.08035,0.080351,2,0.577938,0.634855,43.10867,3.643451,65
n80,n80,,CD24,0.394034,0,0.004046,2,0.061573,0.061574,3,0.548975,0.590595,6.720095,1.712385,44
n81,n81,,CHCHD2,0.036335,0,0.001135,3,0.005532,0.005532,3,0.503132,0.507607,0,0.743787,4
n82,n82,,CXCL12,0.499637,0,0.005609,1,0.078086,0.078087,2,0.57381,0.628631,36.080717,3.927875,62
n83,n83,,CYP24A1,0.06637,0,0.001507,4,0.010209,0.010209,3,0.506303,0.513831,3.333333,0.774164,7
n84,n84,,CYP27B1,0.358922,0,0.00389,12,0.056029,0.05603,3,0.545249,0.584371,9.931856,1.864154,41
n85,n85,,HLA-A,0.346762,0,0.003397,8,0.054146,0.054146,3,0.53915,0.573997,1.68196,1.1381,36
n86,n86,,HLA-DPB1,0.258496,0,0.002676,1,0.040279,0.040279,2,0.528509,0.553942,1.440642,1.01728,26
n87,n87,,IL7R,0.421642,0,0.004461,12,0.065873,0.065874,2,0.556582,0.60166,11.110407,1.837362,49
n88,n88,,KLRB1,0.075194,0,0.001196,1,0.011622,0.011622,3,0.506303,0.513831,0,0.403054,7
n89,n89,,LILRA3,0.277168,0,0.002876,2,0.043243,0.043244,3,0.530837,0.559474,1.649735,1.345127,29
n90,n90,,LTF,0.234584,0,0.002404,11,0.036564,0.036564,3,0.523913,0.547026,0,1.236952,23
n91,n91,,NOV,0.363792,0,0.003968,0,0.056814,0.056814,3,0.547727,0.58852,6.705528,3.372786,43
n92,n92,,SOCS1,0.330353,0,0.003431,12,0.051577,0.051577,2,0.540359,0.574689,3.419519,1.988572,36
n93,n93,,TAP2,0.150174,0,0.001845,5,0.023321,0.023322,3,0.514957,0.530429,0.363636,1.129694,15
n94,n94,,VAV1,0.186277,0,0.00196,8,0.028953,0.028953,3,0.517167,0.534578,0,0.52343,17
n95,n95,,VDR,0.409964,0,0.004094,8,0.064076,0.064076,3,0.548975,0.590595,8.196649,1.517205,44
n96,n96,,ABO,0.281329,0,0.003131,0,0.043873,0.043873,3,0.534368,0.565698,2.528463,5.159951,32
n97,n97,,ANGPT1,0.052971,0,0.001235,6,0.00811,0.00811,3,0.505241,0.511757,0,1.319254,6
n98,n98,,APC,0.35717,0,0.003803,7,0.055707,0.055707,3,0.544018,0.582296,8.60515,2.438993,40
n99,n99,,BDNF,0.552458,0,0.006365,11,0.086373,0.086373,2,0.587805,0.649378,49.141563,3.334186,72
n100,n100,,C7,0.329131,0,0.003169,8,0.051386,0.051386,2,0.536748,0.568465,0.652533,1.054905,33
n101,n101,,C9orf72,0.255355,0,0.002969,12,0.03979,0.03979,2,0.532009,0.560166,4.617111,2.21696,29
n102,n102,,CCL5,0.322862,0,0.003174,1,0.050399,0.050399,2,0.536748,0.568465,0.726544,1.397444,33
n103,n103,,CCL22,0.153236,0,0.001803,1,0.02383,0.02383,3,0.514957,0.530429,0.059821,0.829929,15
